orderNumber,customerName,customerEmail,deliveryDate,totalAmount,currency,status,shippingAddress
SO-2024-0001,BrightPath Labs,ops@brightpathlabs.com,2025-02-23,31004.80,USD,DELIVERED,"264 Harbor Blvd, Sydney, NSW 2000, Australia"
SO-2024-0002,Neptune Fisheries,info@neptunefisheries.com,2024-02-05,42379.80,JPY,PENDING,"877 Harbor Blvd, Boston, MA 02101, USA"
SO-2024-0003,Phoenix Recycling,info@phoenixrecycling.com,2024-04-06,13676.30,INR,DELIVERED,"111 Station Rd, Manchester M1 1AA, UK"
SO-2024-0004,SilverLine Transport,info@silverlinetransport.com,2024-12-16,15952.14,EUR,DELIVERED,"703 Station Rd, Berlin 10115, Germany"
SO-2024-0005,Neptune Fisheries,info@neptunefisheries.com,2025-05-07,56749.01,USD,PENDING,"510 Innovation Dr, Mumbai, Maharashtra 400001, India"
SO-2024-0006,Summit Healthcare,ops@summithealthcare.com,2024-07-22,4072.28,AUD,CONFIRMED,"670 Tech Park Rd, London EC1A 1BB, UK"
SO-2024-0007,ClearView Optics,info@clearviewoptics.com,2024-11-12,85584.41,GBP,PENDING,"138 Queen St, London EC1A 1BB, UK"
SO-2024-0008,Omega Chemicals,ops@omegachemicals.com,2025-03-14,39953.06,USD,PENDING,"390 Innovation Dr, Austin, TX 73301, USA"
SO-2024-0009,Dynamo Sports,orders@dynamosports.com,2024-11-15,32506.99,USD,CONFIRMED,"979 Warehouse Rd, Austin, TX 73301, USA"
SO-2024-0010,NovaStar Tech,orders@novastartech.com,2024-04-15,37896.25,EUR,DELIVERED,"627 Central Ave, Singapore 048583, Singapore"
SO-2024-0011,Dynamo Sports,ops@dynamosports.com,2024-02-18,33026.91,GBP,DELIVERED,"372 Station Rd, Houston, TX 77001, USA"
SO-2024-0012,Pinnacle Group,info@pinnaclegroup.com,2024-05-01,15963.05,INR,DELIVERED,"222 Industrial Way, Mumbai, Maharashtra 400001, India"
SO-2024-0013,Maple Creek Farms,admin@maplecreekfarms.com,2024-08-05,14727.51,USD,SHIPPED,"763 Warehouse Rd, Denver, CO 80201, USA"
SO-2024-0014,Ironclad Security,procurement@ironcladsecurity.com,2024-08-01,59572.98,USD,DELIVERED,"255 Oak St, Paris 75001, France"
SO-2024-0015,Mosaic Designs,info@mosaicdesigns.com,2024-08-09,67643.27,USD,SHIPPED,"484 River Rd, Sydney, NSW 2000, Australia"
